anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
0,25,28.76666667,1,"[33, 35, 31, 32, 33, 25, 31, 31, 27, 31, 23, 32, 22, 23, 34, 25, 27, 19, 24, 15, 34, 35, 33, 28, 33, 28, 24, 29, 31, 35]",30,1,5.14401784
0,29,32.72727273,1,"[36, 26, 34, 36, 28, 34, 39, 41, 23, 39, 36, 32, 29, 29, 34, 34, 37, 34, 33, 25, 37, 32, 30, 28, 33, 35, 35, 35, 23, 35, 28, 40, 30]",33,2,4.685567784
0,23,26.39393939,1,"[26, 20, 34, 29, 21, 26, 27, 32, 24, 25, 25, 22, 26, 29, 12, 29, 28, 33, 22, 34, 38, 17, 28, 31, 31, 23, 29, 34, 18, 26, 26, 25, 21]",33,3,5.550559622
0,24,27,1,"[26, 31, 31, 28, 28, 29, 26, 19, 21, 24, 31, 30, 29, 32, 28, 26, 21, 31, 28, 24, 28, 31, 28, 29, 22, 24, 28, 28, 26, 26, 18, 24, 36]",33,4,3.94493346
0,28,30.46666667,1,"[30, 39, 23, 34, 29, 31, 34, 25, 32, 32, 31, 31, 32, 31, 33, 27, 31, 31, 32, 34, 34, 27, 26, 31, 31, 29, 28, 31, 27, 28]",30,5,3.213477366
0,29,31.32258065,1,"[33, 33, 36, 29, 32, 26, 31, 31, 29, 37, 29, 32, 30, 25, 26, 28, 35, 34, 23, 34, 37, 31, 28, 29, 32, 35, 28, 32, 42, 33, 31]",31,6,3.978166217
0,27,29.96969697,1,"[31, 31, 30, 31, 34, 23, 30, 23, 35, 28, 25, 30, 33, 27, 29, 26, 37, 27, 31, 28, 30, 28, 40, 32, 32, 36, 28, 27, 24, 31, 27, 31, 34]",33,7,3.924958985
0,27,30.3030303,1,"[29, 35, 39, 28, 32, 24, 28, 27, 27, 30, 31, 25, 26, 25, 26, 27, 31, 35, 25, 36, 29, 30, 33, 33, 35, 30, 30, 32, 37, 33, 25, 30, 37]",33,8,4.065747536
0,28,29.91428571,1,"[27, 30, 34, 29, 29, 30, 28, 28, 31, 32, 28, 32, 29, 27, 35, 29, 30, 28, 27, 31, 32, 29, 33, 22, 25, 32, 28, 31, 34, 30, 33, 30, 30, 33, 31]",35,9,2.68296838
0,26,28.03225806,1,"[30, 31, 34, 27, 25, 27, 24, 26, 29, 22, 28, 28, 23, 26, 22, 31, 27, 25, 33, 37, 28, 22, 34, 27, 30, 25, 31, 31, 30, 26, 30]",31,10,3.75485349
0,28,31.53125,1,"[37, 33, 27, 36, 21, 25, 37, 32, 38, 26, 35, 40, 33, 34, 32, 33, 35, 31, 37, 30, 35, 38, 28, 30, 26, 33, 25, 36, 35, 29, 18, 24]",32,11,5.358047159
0,30,33.83333333,1,"[26, 33, 33, 39, 34, 26, 38, 40, 32, 37, 41, 34, 35, 40, 36, 30, 31, 29, 28, 29, 42, 35, 32, 30, 41, 38, 30, 25, 38, 33]",30,12,4.857154931
0,29,30.6875,1,"[29, 30, 29, 34, 37, 28, 38, 36, 28, 29, 33, 30, 32, 33, 18, 35, 34, 33, 28, 24, 40, 30, 21, 27, 34, 31, 31, 21, 35, 32, 33, 29]",32,13,4.901859423
0,31,33.81481481,1,"[31, 33, 25, 27, 38, 36, 38, 31, 38, 36, 37, 36, 37, 36, 31, 33, 33, 30, 37, 31, 34, 36, 29, 37, 35, 33, 35]",27,14,3.486645258
0,32,32.4516129,1,"[27, 27, 33, 36, 32, 36, 34, 34, 30, 35, 29, 33, 34, 34, 34, 22, 34, 24, 33, 37, 36, 33, 41, 23, 33, 35, 33, 33, 35, 34, 32]",31,15,4.15402383
0,29,32.33333333,1,"[39, 27, 36, 32, 38, 33, 34, 26, 36, 31, 39, 33, 35, 28, 34, 22, 25, 24, 26, 37, 35, 34, 37, 28, 35, 31, 37, 34, 33, 31]",30,16,4.655981198
0,29,32.24242424,1,"[33, 31, 36, 42, 24, 31, 31, 41, 28, 33, 37, 29, 33, 36, 31, 30, 35, 31, 37, 20, 38, 29, 27, 31, 27, 34, 31, 29, 37, 32, 35, 37, 28]",33,17,4.6772742
0,24,27.18181818,1,"[27, 18, 35, 24, 21, 27, 24, 25, 32, 27, 14, 28, 25, 25, 17, 31, 28, 34, 25, 36, 36, 27, 31, 29, 31, 23, 31, 33, 20, 29, 33, 30, 21]",33,18,5.5195932
0,24,25.51515152,1,"[25, 31, 20, 28, 19, 27, 25, 18, 20, 26, 26, 25, 32, 33, 26, 28, 28, 25, 24, 21, 28, 31, 28, 28, 26, 25, 25, 21, 25, 24, 14, 27, 33]",33,19,4.31654674
0,31,34.96666667,1,"[35, 40, 39, 41, 40, 30, 37, 34, 40, 31, 42, 18, 44, 38, 35, 40, 40, 37, 37, 33, 30, 32, 27, 40, 29, 36, 34, 27, 38, 25]",30,20,5.863289258
0,34,35.38709677,1,"[28, 40, 38, 40, 39, 38, 24, 37, 30, 37, 34, 34, 34, 37, 28, 30, 40, 37, 37, 40, 40, 36, 34, 35, 37, 42, 29, 34, 44, 28, 36]",31,21,4.72353977
0,26,28.03030303,1,"[32, 26, 29, 30, 33, 27, 25, 26, 20, 29, 26, 20, 28, 27, 27, 29, 26, 23, 28, 31, 30, 31, 37, 25, 29, 32, 29, 30, 25, 35, 25, 26, 29]",33,22,3.686841878
0,24,27.96969697,1,"[26, 29, 28, 24, 35, 23, 27, 18, 28, 24, 32, 18, 20, 28, 27, 24, 24, 33, 27, 32, 33, 32, 31, 32, 34, 25, 29, 35, 41, 30, 14, 26, 34]",33,23,5.692565593
0,25,27.62162162,1,"[29, 31, 31, 32, 21, 34, 28, 37, 20, 31, 22, 27, 27, 26, 33, 34, 29, 26, 25, 27, 30, 20, 28, 24, 18, 28, 24, 28, 30, 30, 25, 27, 25, 26, 34, 24, 31]",37,24,4.341987201
0,28,31.22580645,1,"[37, 29, 39, 30, 37, 28, 28, 25, 37, 34, 30, 38, 30, 24, 26, 39, 34, 28, 31, 31, 27, 28, 29, 26, 33, 29, 32, 40, 26, 31, 32]",31,25,4.529235973
0,28,30.84375,0,"[27, 31, 30, 42, 27, 37, 39, 32, 34, 13, 33, 34, 31, 32, 33, 31, 30, 30, 37, 27, 35, 39, 27, 39, 31, 15, 23, 18, 31, 28, 35, 36]",32,26,6.619177295
0,26,29.13333333,1,"[29, 23, 28, 31, 24, 37, 32, 30, 31, 37, 27, 34, 29, 37, 35, 26, 28, 25, 27, 18, 33, 21, 24, 30, 33, 30, 27, 25, 30, 33]",30,27,4.725085902
0,26,28.6875,1,"[29, 28, 26, 35, 30, 24, 31, 28, 35, 31, 32, 29, 30, 34, 25, 31, 34, 27, 15, 29, 36, 28, 22, 21, 33, 30, 33, 20, 33, 24, 31, 24]",32,28,4.888680144
0,29,31.68965517,1,"[28, 37, 26, 37, 30, 34, 35, 31, 33, 34, 36, 28, 31, 34, 27, 29, 32, 31, 34, 41, 31, 31, 31, 36, 28, 33, 31, 27, 23]",29,29,3.88314534
0,31,33.53333333,1,"[31, 28, 33, 35, 35, 39, 35, 36, 34, 35, 33, 31, 35, 34, 38, 29, 32, 26, 33, 31, 30, 28, 31, 37, 38, 36, 33, 39, 37, 34]",30,30,3.360350283
0,27,29.23333333,0,"[34, 34, 36, 30, 35, 36, 32, 27, 28, 33, 28, 31, 24, 28, 33, 21, 19, 24, 29, 25, 32, 29, 32, 31, 31, 27, 15, 30, 31, 32]",30,31,4.931834193
0,27,30.90909091,1,"[33, 27, 35, 42, 24, 28, 33, 43, 23, 36, 36, 29, 27, 23, 35, 33, 35, 36, 30, 36, 37, 27, 14, 24, 29, 30, 34, 24, 25, 35, 29, 40, 28]",33,32,6.241812819
0,20,23.51515152,1,"[28, 18, 28, 27, 19, 21, 14, 22, 21, 20, 28, 25, 20, 19, 15, 31, 26, 31, 16, 24, 27, 26, 23, 29, 29, 30, 26, 27, 17, 24, 28, 21, 16]",33,33,4.963121574
0,21,22.81818182,0,"[20, 26, 24, 20, 21, 23, 21, 7, 23, 29, 27, 22, 23, 26, 23, 22, 25, 21, 21, 28, 22, 26, 30, 25, 27, 16, 18, 34, 25, 24, 8, 19, 27]",33,34,5.381998615
0,20,24,1,"[20, 30, 22, 28, 21, 14, 27, 21, 18, 22, 22, 33, 20, 32, 29, 30, 23, 30, 26, 20, 24, 21, 28, 29, 22, 17, 19, 20, 29, 23]",30,35,4.884881674
0,24,25.90322581,1,"[28, 35, 32, 28, 28, 24, 27, 26, 24, 29, 28, 16, 18, 25, 18, 21, 26, 28, 28, 32, 24, 30, 26, 25, 23, 30, 17, 19, 35, 27, 26]",31,36,4.85355429
0,18,21.63636364,1,"[16, 30, 28, 29, 28, 22, 15, 28, 21, 16, 22, 16, 21, 18, 18, 19, 35, 21, 22, 24, 19, 18, 28, 21, 16, 17, 19, 20, 14, 20, 26, 23, 24]",33,37,5.048627176
