anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
25,30,32.17647059,1,"[29, 35, 31, 33, 33, 35, 32, 33, 32, 30, 30, 37, 31, 30, 32, 35, 37, 33, 28, 32, 39, 35, 30, 31, 29, 30, 30, 33, 30, 30, 34, 31, 30, 34]",34,1,2.587505974
29,34,35.73529412,1,"[37, 41, 38, 32, 34, 36, 35, 35, 35, 36, 41, 38, 41, 31, 34, 31, 32, 37, 35, 35, 31, 38, 34, 36, 38, 36, 37, 31, 36, 38, 37, 35, 39, 35]",34,2,2.788600426
23,29,32.05882353,1,"[36, 29, 32, 29, 32, 32, 32, 29, 44, 33, 30, 36, 35, 27, 34, 28, 35, 26, 34, 41, 37, 31, 33, 29, 27, 25, 28, 30, 31, 29, 36, 36, 34, 30]",34,3,4.162903827
24,29,30.72413793,1,"[32, 34, 26, 34, 26, 30, 31, 32, 33, 40, 29, 26, 34, 35, 26, 29, 34, 30, 26, 30, 34, 29, 28, 30, 29, 30, 30, 33, 31]",29,4,3.304721209
28,33,34.27272727,1,"[34, 33, 31, 37, 32, 31, 36, 33, 30, 37, 37, 33, 33, 38, 35, 40, 38, 33, 33, 39, 30, 33, 34, 36, 32, 35, 36, 38, 34, 32, 33, 35, 30]",33,5,2.707313328
29,33,35.12121212,1,"[34, 33, 38, 34, 35, 39, 32, 41, 36, 36, 35, 31, 35, 39, 34, 34, 39, 35, 35, 35, 35, 33, 36, 37, 41, 35, 35, 31, 33, 32, 33, 37, 31]",33,6,2.654684253
27,32,33.51515152,1,"[29, 31, 31, 32, 36, 31, 35, 33, 33, 29, 37, 35, 31, 34, 36, 30, 32, 39, 38, 35, 33, 32, 35, 37, 32, 33, 30, 35, 36, 34, 36, 34, 32]",33,7,2.587484446
27,31,32.82352941,1,"[30, 30, 32, 38, 32, 32, 32, 34, 29, 32, 33, 32, 36, 37, 31, 33, 35, 38, 35, 34, 32, 38, 36, 32, 34, 31, 30, 33, 31, 33, 32, 29, 29, 31]",34,8,2.575768061
28,33,34.625,1,"[33, 36, 36, 33, 32, 36, 33, 35, 35, 34, 35, 34, 33, 35, 37, 32, 32, 37, 34, 33, 36, 36, 31, 40, 32, 33, 31, 36, 36, 39, 35, 38]",32,9,2.239671635
26,30,31.03125,0,"[30, 37, 31, 33, 29, 29, 31, 34, 35, 30, 33, 31, 31, 30, 30, 33, 30, 31, 32, 30, 31, 29, 30, 31, 29, 27, 29, 30, 32, 29, 29, 37]",32,10,2.292827174
28,33,35.63888889,1,"[37, 37, 32, 34, 36, 44, 38, 33, 32, 37, 34, 40, 32, 39, 35, 33, 37, 33, 30, 39, 34, 40, 33, 37, 32, 37, 42, 36, 33, 36, 34, 34, 37, 42, 30, 34]",36,11,3.373449085
30,36,37.06060606,1,"[37, 34, 42, 40, 39, 40, 35, 36, 39, 38, 38, 37, 37, 43, 36, 34, 41, 36, 38, 36, 36, 39, 33, 35, 34, 36, 35, 33, 36, 37, 39, 36, 38]",33,12,2.461445129
29,35,36.13888889,1,"[37, 35, 36, 37, 40, 37, 37, 36, 35, 34, 38, 38, 37, 32, 37, 31, 35, 32, 38, 32, 42, 37, 35, 34, 33, 37, 39, 35, 35, 34, 39, 41, 33, 42, 35, 36]",36,13,2.727141651
31,36,37.20588235,1,"[37, 40, 38, 36, 38, 38, 35, 36, 36, 35, 38, 38, 39, 37, 39, 38, 44, 37, 36, 36, 36, 37, 41, 37, 36, 39, 38, 40, 34, 33, 33, 34, 40, 36]",34,14,2.306504791
32,37,39.4516129,1,"[39, 37, 40, 36, 38, 40, 40, 37, 37, 40, 44, 37, 43, 38, 44, 39, 40, 36, 42, 38, 44, 35, 39, 45, 36, 37, 42, 39, 40, 46, 35]",31,15,3.031377131
29,35,36.67647059,1,"[36, 40, 39, 35, 42, 36, 38, 36, 35, 39, 33, 39, 35, 37, 30, 36, 44, 32, 35, 33, 37, 35, 40, 34, 39, 37, 34, 37, 37, 40, 37, 37, 32, 41]",34,16,3.032356702
29,33,35.15151515,1,"[37, 39, 38, 35, 35, 36, 35, 33, 37, 33, 35, 44, 31, 31, 32, 33, 31, 39, 33, 36, 31, 40, 31, 38, 39, 37, 35, 31, 35, 35, 34, 37, 34]",33,17,3.123711856
24,30,32.11764706,1,"[37, 31, 31, 34, 26, 30, 36, 36, 40, 30, 30, 31, 33, 30, 31, 34, 33, 27, 35, 34, 33, 31, 34, 31, 29, 26, 36, 31, 26, 33, 32, 32, 35, 34]",34,18,3.226450399
24,29,30.86666667,1,"[30, 34, 26, 33, 26, 30, 29, 32, 32, 26, 31, 31, 32, 34, 26, 34, 39, 33, 26, 31, 33, 34, 31, 33, 29, 26, 28, 34, 32, 31]",30,19,3.202728722
31,37,39.06060606,1,"[39, 38, 33, 41, 39, 37, 39, 34, 41, 44, 48, 39, 37, 37, 37, 44, 42, 41, 37, 40, 36, 39, 41, 41, 40, 38, 40, 39, 40, 33, 39, 40, 36]",33,20,3.071434864
