anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
30,34,35.2,1,"[34, 39, 36, 38, 32, 35, 33, 36, 34, 38, 39, 34, 34, 36, 34, 32, 36, 32, 38, 38, 37, 32, 38, 34, 36, 34, 35, 39, 37, 32, 35, 34, 36, 32, 33]",35,1,2.272598927
34,36,37.41176471,1,"[36, 39, 38, 36, 36, 38, 39, 36, 40, 36, 38, 37, 38, 37, 38, 38, 38, 37, 41, 36, 40, 36, 36, 38, 37, 38, 37, 36, 37, 39, 38, 36, 36, 36]",34,2,1.373287298
29,33,34.27272727,1,"[34, 35, 35, 33, 37, 34, 33, 33, 35, 35, 34, 35, 34, 34, 33, 37, 32, 37, 34, 36, 32, 34, 34, 31, 34, 37, 31, 34, 35, 38, 38, 32, 31]",33,3,1.924719578
29,32,33.85294118,0,"[35, 33, 36, 32, 32, 31, 31, 32, 32, 31, 34, 33, 34, 33, 41, 35, 35, 40, 33, 35, 33, 32, 31, 32, 36, 32, 40, 34, 32, 35, 35, 33, 35, 33]",34,4,2.524214284
33,36,37.18181818,1,"[36, 38, 36, 35, 38, 39, 37, 37, 35, 36, 35, 37, 37, 37, 38, 38, 36, 35, 37, 39, 35, 41, 41, 36, 41, 40, 35, 36, 39, 38, 35, 37, 37]",33,5,1.827815388
33,36,37.58823529,1,"[35, 41, 37, 38, 37, 38, 37, 37, 35, 38, 37, 35, 35, 39, 35, 42, 41, 38, 39, 37, 41, 42, 36, 37, 35, 36, 35, 37, 38, 39, 39, 36, 37, 39]",34,6,2.076092587
32,35,36.35294118,1,"[38, 35, 37, 36, 36, 36, 36, 34, 38, 35, 35, 40, 37, 35, 34, 36, 38, 35, 38, 37, 34, 38, 36, 37, 34, 37, 37, 39, 35, 37, 34, 35, 40, 37]",34,7,1.667557694
31,34,35.06060606,1,"[39, 34, 40, 33, 33, 37, 35, 33, 35, 33, 35, 38, 35, 34, 34, 34, 37, 34, 36, 35, 34, 34, 34, 37, 33, 38, 34, 36, 37, 36, 34, 33, 33]",33,8,1.902948271
33,36,36.77419355,1,"[35, 36, 38, 41, 37, 38, 36, 36, 38, 36, 38, 38, 38, 35, 35, 35, 39, 36, 37, 35, 38, 35, 37, 36, 35, 35, 37, 38, 37, 38, 37]",31,9,1.476700769
30,33,33.84375,1,"[35, 33, 34, 36, 33, 32, 32, 36, 33, 33, 35, 33, 33, 34, 34, 32, 35, 32, 32, 34, 34, 32, 32, 34, 33, 36, 38, 34, 34, 36, 36, 33]",32,10,1.54730515
33,36,37.91666667,1,"[38, 37, 37, 40, 39, 35, 39, 37, 39, 39, 38, 38, 41, 41, 41, 41, 35, 37, 39, 38, 36, 38, 36, 35, 38, 38, 42, 35, 35, 36, 35, 42, 40, 38, 35, 37]",36,11,2.143095225
36,38,39.88888889,1,"[43, 40, 38, 38, 43, 40, 39, 42, 38, 38, 40, 40, 41, 41, 38, 38, 41, 39, 41, 40, 40, 42, 43, 38, 41, 39, 38, 39, 42, 41, 39, 39, 38, 41, 40, 38]",36,12,1.617366074
35,38,39.19444444,1,"[38, 38, 41, 37, 39, 43, 40, 41, 38, 38, 41, 41, 40, 39, 40, 40, 37, 37, 38, 38, 42, 38, 39, 38, 39, 39, 37, 41, 38, 41, 37, 41, 41, 40, 38, 38]",36,13,1.618101965
36,38,39.55555556,1,"[40, 40, 39, 38, 39, 38, 38, 40, 38, 40, 40, 39, 38, 38, 38, 41, 42, 39, 39, 41, 42, 39, 41, 38, 39, 39, 40, 40, 38, 42, 40, 42, 38, 41, 42, 38]",36,14,1.402944749
37,39,40.73333333,1,"[41, 42, 40, 41, 42, 42, 39, 41, 42, 39, 41, 39, 40, 42, 39, 42, 41, 39, 39, 41, 40, 39, 45, 39, 42, 39, 43, 39, 42, 42]",30,15,1.552158305
35,38,39.6,1,"[40, 41, 41, 40, 39, 38, 38, 39, 40, 40, 40, 40, 40, 40, 40, 37, 38, 37, 38, 38, 40, 40, 42, 38, 37, 40, 42, 41, 42, 37, 40, 41, 41, 40, 41]",35,16,1.4792685
